city ,state
Houston-Galveston,TX
New Orleans,LA
Los Angeles,CA
New York City,NY
Port Arthur,TX
Norfolk,VA
Philadelphia,PA
Mobile,AL
Seattle,WA
San Francisco,CA
Columbia-Snake,ID
Baltimore,MD
Savannah,GA
Tampa,FL
Virgin Islands,VI
Miami,FL
Charleston,SC
Boston,MA
Detroit,MI
San Juan,PR
Cleveland,OH
Portland,ME
Honolulu,HI
Wilmington,NC
Buffalo,NY
Anchorage,AK
Providence,RI
Chicago,IL
Ogdensburg,NY
Minneapolis,MN
Laredo,TX
Milwaukee,WI
San Diego,CA
Duluth,MN
Washington,DC
Pembina,ND
Low Value,XX
St. Louis,MO
